A,B,C,D,E,APPROVE,REJECT,REVIEW,DECISION
0,0,0,0,0,0,1,0,REJECT
0,0,0,0,1,0,1,0,REJECT
0,0,0,1,0,0,1,0,REJECT
0,0,0,1,1,0,1,0,REJECT
0,0,1,0,0,0,1,0,REJECT
0,0,1,0,1,0,1,0,REJECT
0,0,1,1,0,0,1,0,REJECT
0,0,1,1,1,0,1,0,REJECT
0,1,0,0,0,0,0,1,REVIEW
0,1,0,0,1,0,0,1,REVIEW
0,1,0,1,0,0,1,0,REJECT
0,1,0,1,1,0,1,0,REJECT
0,1,1,0,0,0,0,1,REVIEW
0,1,1,0,1,0,0,1,REVIEW
0,1,1,1,0,0,1,0,REJECT
0,1,1,1,1,0,1,0,REJECT
1,0,0,0,0,0,0,1,REVIEW
1,0,0,0,1,0,0,1,REVIEW
1,0,0,1,0,0,1,0,REJECT
1,0,0,1,1,0,1,0,REJECT
1,0,1,0,0,0,0,1,REVIEW
1,0,1,0,1,0,0,1,REVIEW
1,0,1,1,0,0,1,0,REJECT
1,0,1,1,1,0,1,0,REJECT
1,1,0,0,0,0,0,1,REVIEW
1,1,0,0,1,0,0,1,REVIEW
1,1,0,1,0,0,1,0,REJECT
1,1,0,1,1,0,1,0,REJECT
1,1,1,0,0,1,0,0,APPROVE
1,1,1,0,1,1,0,0,APPROVE
1,1,1,1,0,0,1,0,REJECT
1,1,1,1,1,0,1,0,REJECT
